Date,Price,Open,High,Low,Vol.,Change %
"Feb 04, 2019",68.43,68.26,69.04,68.26,595.14K,0.25%
"Feb 03, 2019",68.26,67.83,69.04,67.83,535.81K,0.00%
"Jan 31, 2019",68.26,70.7,70.96,66.7,2.32M,-3.45%
"Jan 30, 2019",70.7,71.39,72.35,70.43,962.44K,-0.97%
"Jan 29, 2019",71.39,70.96,71.74,70.52,1.50M,0.61%
"Jan 28, 2019",70.96,72.26,72.78,70.7,1.45M,-2.39%
"Jan 27, 2019",72.7,73.39,74.09,72.26,1.93M,-0.94%
"Jan 24, 2019",73.39,72.52,73.74,72.17,1.92M,1.56%
"Jan 23, 2019",72.26,71.74,72.96,70.96,1.81M,1.35%
"Jan 22, 2019",71.3,71.04,71.83,70.78,1.32M,0.37%
"Jan 21, 2019",71.04,72.17,72.43,70.78,806.14K,-1.46%
"Jan 20, 2019",72.09,70.61,72.17,70.61,1.51M,2.47%
"Jan 17, 2019",70.35,70.09,72.17,68.96,2.18M,0.37%
"Jan 16, 2019",70.09,71.22,71.3,69.83,1.65M,-0.61%
"Jan 15, 2019",70.52,70.43,71.22,69.48,2.84M,0.00%
"Jan 14, 2019",70.52,71.91,72.09,70.09,2.92M,-1.70%
